open_period,7/25/2023,7/27/2023,diff,gone,new,roll,likely_fixed,scrubber,non_scrubbed,drafty,not_drafty,over_15yo,under_15yo,order_key
2023 August 01-10,1,0,-1,0,0,0,0,0,0,0,0,0,0,8/1/2023
2023 August 11-20,12,2,-10,-8,0,-1,1,2,1,3,0,1,2,8/11/2023
2023 August 21-31,27,24,-3,-3,4,1,5,17,12,25,4,7,22,8/21/2023
2023 September 01-10,6,6,0,-2,2,0,0,2,4,5,1,3,3,9/1/2023
2023 September 11-20,0,1,1,0,1,0,0,1,0,1,0,0,1,9/11/2023
