open_period,2023-07-25,2023-07-27,diff,scrubber,non_scrubbed,drafty,not_drafty,over_15yo,under_15yo,new,roll1,gone,order_key,likely_fixed,gone_cnt,new_cnt,roll_cnt
2023 August 01-10,1,0,-1,,,,,,,,,['9232060'],2023-08-01,,-0.5,0,0
2023 August 11-20,12,2,-10,2.0,1.0,3.0,0.0,1.0,2.0,[''],[''],"['848481000', '637223000', '9750971', '9406453', '9262730', '9258117', '9492232', '9260641']",2023-08-11,1.0,-8.0,0,-1
2023 August 21-31,27,24,-3,17.0,12.0,25.0,4.0,7.0,22.0,"['9222730', '9479890', '448115000', '9875111']",['9731432'],"['9480538', '9686326', '9402299']",2023-08-21,5.0,-3.0,4,1
2023 September 01-10,6,6,0,2.0,4.0,5.0,1.0,3.0,3.0,"['196495000', '9300362']",[''],"['912238000', '758565000']",2023-09-01,0.0,-2.0,2,0
2023 September 11-20,0,1,1,1.0,0.0,1.0,0.0,0.0,1.0,['9439060'],[''],,2023-09-11,0.0,0.0,1,0
